frontend_function,frontend_evidence,backend_route_match,mapping_status,notes
isNativeDesktop,desktop/src/lib/api.ts:246,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getAppStorageLayout,desktop/src/lib/api.ts:256,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
bootstrapDesktopBackend,desktop/src/lib/api.ts:261,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
pickNativePrimaryVideoPath,desktop/src/lib/api.ts:266,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
listenToNativeImportProgress,desktop/src/lib/api.ts:281,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
startNativePrimaryImport,desktop/src/lib/api.ts:290,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
cancelNativeImport,desktop/src/lib/api.ts:302,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
createProject,desktop/src/lib/api.ts:307,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
listProjects,desktop/src/lib/api.ts:314,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getProject,desktop/src/lib/api.ts:318,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateProject,desktop/src/lib/api.ts:322,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
deleteProject,desktop/src/lib/api.ts:329,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
listProjectAssets,desktop/src/lib/api.ts:333,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getProjectSourceSyncPlan,desktop/src/lib/api.ts:337,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
applyProjectSourceSyncMetadata,desktop/src/lib/api.ts:341,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateProjectAssetSyncOffset,desktop/src/lib/api.ts:348,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateProjectAssetMetadata,desktop/src/lib/api.ts:359,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
uploadProjectAsset,desktop/src/lib/api.ts:370,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
uploadProjectPrimaryVideo,desktop/src/lib/api.ts:394,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
deleteProjectAsset,desktop/src/lib/api.ts:539,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
uploadVideo,desktop/src/lib/api.ts:551,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
startVideoProcessing,desktop/src/lib/api.ts:564,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
listVideos,desktop/src/lib/api.ts:568,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getVideo,desktop/src/lib/api.ts:572,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getProcessingStatus,desktop/src/lib/api.ts:576,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getTranscriptTimeline,desktop/src/lib/api.ts:580,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getTranscriptCutDecisions,desktop/src/lib/api.ts:584,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
createTranscriptCutDecision,desktop/src/lib/api.ts:588,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
deleteTranscriptCutDecision,desktop/src/lib/api.ts:598,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateTranscriptCutTrim,desktop/src/lib/api.ts:604,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
restoreTranscriptCutWord,desktop/src/lib/api.ts:615,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getEditDecisionSync,desktop/src/lib/api.ts:626,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
analyzeCleanSuggestions,desktop/src/lib/api.ts:634,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
applyCleanSuggestions,desktop/src/lib/api.ts:641,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getSegments,desktop/src/lib/api.ts:657,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
updateSegment,desktop/src/lib/api.ts:661,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
bulkUpdateSegments,desktop/src/lib/api.ts:678,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getEditPlan,desktop/src/lib/api.ts:692,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
getSemanticRenderPlan,desktop/src/lib/api.ts:696,Manual route inspection required,IMPLEMENTED_AND_CONNECTED,Static name-based mapping; API_ENDPOINTS.csv is authoritative for backend declarations.
